certificate_id,nama,nim,prodi,angkatan,kegiatan,tanggal
CERT-0270,Siti Wulandari,692023192,Teknologi Informasi,2023,Pelatihan Blockchain,2026-04-02
CERT-0271,Cahyo Pratama,692022188,Teknologi Informasi,2022,Workshop Machine Learning,2026-05-29
CERT-0272,Aditya Lestari,682021091,Sistem Informasi,2021,Mobile Apps Development Hackathon,2026-03-28
CERT-0273,Farhan Wijaya,702024162,Teknik Komputer,2024,Webinar Cyber Security,2026-02-04
CERT-0274,Eko Ningsih,672023052,Informatika,2023,Pelatihan Blockchain,2026-02-21
CERT-0275,Maulana Wibowo,692023132,Teknologi Informasi,2023,Workshop Data Analytics,2026-05-20
CERT-0276,Hayati Pasaribu,672022074,Informatika,2022,Pelatihan UI/UX Design,2026-01-13
CERT-0277,Kevin Lestari,692021205,Teknologi Informasi,2021,Pelatihan UI/UX Design,2026-04-22
CERT-0278,Maulana Utami,702024087,Teknik Komputer,2024,Webinar Cyber Security,2026-05-08
CERT-0279,Wati Purnomo,692023206,Teknologi Informasi,2023,Workshop Machine Learning,2026-04-19
CERT-0280,Fahmi Fitriani,712022140,Pendidikan Informatika,2022,Seminar Cloud Computing,2026-03-24
CERT-0281,Gilang Kusuma,692023079,Teknologi Informasi,2023,DevOps Essential Training,2026-06-04
CERT-0282,Yuli Fitriani,682024090,Sistem Informasi,2024,DevOps Essential Training,2026-01-11
CERT-0283,Zahra Putri,712024071,Pendidikan Informatika,2024,Pelatihan Blockchain,2026-01-20
CERT-0284,Utami Utami,692022244,Teknologi Informasi,2022,Pelatihan Blockchain,2026-02-06
CERT-0285,Irfan Sanjaya,702021018,Teknik Komputer,2021,Bootcamp Fullstack Developer,2026-06-15
CERT-0286,Anisa Rahmawati,702021155,Teknik Komputer,2021,Webinar Cyber Security,2026-04-26
CERT-0287,Anisa Rahmawati,702021147,Teknik Komputer,2021,Webinar Cyber Security,2026-05-16
CERT-0288,Anisa Utami,692023064,Teknologi Informasi,2023,Workshop Machine Learning,2026-01-07
CERT-0289,Aditya Wijaya,702024234,Teknik Komputer,2024,Mobile Apps Development Hackathon,2026-01-31
CERT-0290,Rian Pasaribu,702022157,Teknik Komputer,2022,Seminar Cloud Computing,2026-05-06
CERT-0291,Maman Setiawan,682021116,Sistem Informasi,2021,Webinar Cyber Security,2026-04-24
CERT-0292,Fahmi Sari,692021141,Teknologi Informasi,2021,Mobile Apps Development Hackathon,2026-03-16
CERT-0293,Naufal Harahap,682022204,Sistem Informasi,2022,Pelatihan UI/UX Design,2026-05-11
CERT-0294,Oki Setiawan,682022061,Sistem Informasi,2022,DevOps Essential Training,2026-01-07
CERT-0295,Anisa Sudrajat,712023120,Pendidikan Informatika,2023,Mobile Apps Development Hackathon,2026-02-03
CERT-0296,Rina Kusuma,672023102,Informatika,2023,DevOps Essential Training,2026-05-15
CERT-0297,Dewi Astuti,712021033,Pendidikan Informatika,2021,Pelatihan UI/UX Design,2026-06-14
CERT-0298,Eko Zulaikha,702023033,Teknik Komputer,2023,Mobile Apps Development Hackathon,2026-06-13
CERT-0299,Olivia Wijaya,682024129,Sistem Informasi,2024,Pelatihan Blockchain,2026-02-01
CERT-0300,Kartika Laksana,692022042,Teknologi Informasi,2022,Pelatihan UI/UX Design,2026-02-27
